N;alimento;kcal;proteina;lipideos;colesterol;carboidrato;fibras;sodio;categoria
137;OVO DE CODORNA INTEIRO CRU;177.00;13.70;12.70;568.00;0.80;0.0;129.00;Ovos e derivados
138;OVO DE GALINHA CLARA COZIDA/10MINUTOS;59.00;13.40;0.10;0.0;0.00;0.0;181.00;Ovos e derivados
139;OVO DE GALINHA GEMA COZIDA/10MINUTOS;353.00;15.90;30.80;1272.00;1.60;0.0;45.00;Ovos e derivados
140;OVO DE GALINHA INTEIRO COZIDO/10MINUTOS;146.00;13.30;9.50;397.00;0.60;0.0;146.00;Ovos e derivados
141;OVO DE GALINHA INTEIRO CRU;143.00;13.00;8.90;356.00;1.60;0.0;168.00;Ovos e derivados
142;OVO DE GALINHA INTEIRO FRITO;240.00;15.60;18.60;516.00;1.20;0.0;166.00;Ovos e derivados
143;ACHOCOLATADO PO;401.00;4.20;2.20;0.0;91.20;3.90;65.00;Produtos acucarados
144;ACUCAR MASCAVO;369.00;0.80;0.10;0.0;94.50;0.0;25.00;Produtos acucarados
145;CHOCOLATE AO LEITE;540.00;7.20;30.30;17.00;59.60;2.20;77.00;Produtos acucarados
146;CHOCOLATE AO LEITE COM CASTANHA DO PARA;559.00;7.40;34.20;16.00;55.40;2.50;64.00;Produtos acucarados
147;CHOCOLATE AO LEITE DIETETICO;557.00;6.90;33.80;13.00;56.30;2.80;85.00;Produtos acucarados
148;CHOCOLATE MEIO AMARGO;475.00;4.90;29.90;2.00;62.40;4.90;9.00;Produtos acucarados
149;COCADA BRANCA;449.00;1.10;13.60;0.0;81.40;3.60;29.00;Produtos acucarados
150;DOCE DEABOBORA CREMOSO;199.00;0.90;0.20;0.0;54.60;2.30;0.0;Produtos acucarados
151;DOCE DE LEITE CREMOSO;306.00;5.50;6.00;20.00;59.50;0.0;120.00;Produtos acucarados
152;MEL DE ABELHA;309.00;0.00;0.00;0.0;84.00;0.0;6.00;Produtos acucarados
153;MELADO;297.00;0.00;0.00;0.0;76.60;0.0;4.00;Produtos acucarados
154;QUINDIM;411.00;4.70;24.40;271.00;46.30;3.20;27.00;Produtos acucarados
155;RAPADURA;352.00;1.00;0.10;0.0;90.80;0.0;22.00;Produtos acucarados
156;CAFE PO TORRADO;419.00;14.70;11.90;0.0;65.80;51.20;1.00;Miscelaneas
157;CAPUCCINO PO;417.00;11.30;8.60;29.00;73.60;2.40;382.00;Miscelaneas
158;FERMENTO EM PO QUIMICO;90.00;0.50;0.10;0.0;43.90;0.0;10052.00;Miscelaneas
159;FERMENTO BIOLOGICO LEVEDURA TABLETE;90.00;17.00;1.50;0.0;7.70;4.20;40.00;Miscelaneas
160;GELATINA SABORES VARIADOS PO;380.00;8.90;0.0;0.0;89.20;0.0;235.00;Miscelaneas
161;SAL DIETETICO;0.0;0.0;0.0;0.0;0.0;0.0;23432.00;Miscelaneas
162;SAL GROSSO;0.0;0.0;0.0;0.0;0.0;0.0;39943.00;Miscelaneas
163;SHOYU;61.00;3.30;0.30;0.0;11.60;0.0;5024.00;Miscelaneas
164;TEMPERO A BASE DE SAL;21.00;2.70;0.30;0.0;2.10;0.60;32560.00;Miscelaneas
165;CUSCUZ DE MILHO COZIDO COM SAL;113.00;2.20;0.70;0.0;25.30;2.10;248.00;Alimentos preparados
166;CUSCUZ PAULISTA;142.00;2.60;4.60;15.00;22.50;2.40;236.00;Alimentos preparados
167;DOBRADINHA;125.00;19.80;4.40;144.00;0.00;0.0;29.00;Alimentos preparados
168;ESTROGONOFE DE CARNE;173.00;15.00;10.80;66.00;3.00;0.0;123.00;Alimentos preparados
169;ESTROGONOFE DE FRANGO;157.00;17.60;8.00;80.00;2.60;0.0;99.00;Alimentos preparados
170;FEIJAO TROPEIRO MINEIRO;152.00;10.20;6.80;68.00;19.60;3.60;365.00;Alimentos preparados
171;FEIJOADA;117.00;8.70;6.50;22.00;11.60;5.10;278.00;Alimentos preparados
172;SALADA DE LEGUMES COM MAIONESE;96.00;1.10;7.00;7.00;8.90;2.20;228.00;Alimentos preparados
173;SALADA DE LEGUMES COZIDA NO VAPOR;35.00;2.00;0.30;0.0;7.10;2.50;3.00;Alimentos preparados
174;SALPICAO DE FRANGO;148.00;13.90;7.80;53.00;4.60;0.40;248.00;Alimentos preparados
175;SARAPATEL;123.00;18.50;4.40;315.00;1.10;0.0;216.00;Alimentos preparados
176;TAPIOCA COM MANTEIGA;348.00;0.10;10.90;31.00;63.60;0.0;158.00;Alimentos preparados
177;VATAPA;255.00;6.00;23.20;44.00;9.70;1.70;880.00;Alimentos preparados
178;YAKISOBA;113.00;7.50;2.60;0.0;18.30;1.10;794.00;Alimentos preparados
179;AMENDOIM GRAO CRU;544.00;27.20;43.90;0.0;20.30;8.00;0.0;Leguminosas e derivados
