;alimento;kcal;proteina;lipideos;carboidrato;fibras
160;SAL DIETETICO;0.0;0.0;0.0;0.0;0.0
161;SAL GROSSO;0.0;0.0;0.0;0.0;0.0
162;SHOYU;61.0;3.3;0.3;11.6;0.0
163;TEMPERO A BASE DE SAL;21.0;2.7;0.3;2.1;0.6
164;CUSCUZ DE MILHO COZIDO COM SAL;113.0;2.2;0.7;25.3;2.1
165;CUSCUZ PAULISTA;142.0;2.6;4.6;22.5;2.4
166;DOBRADINHA;125.0;19.8;4.4;0.0;0.0
167;ESTROGONOFE DE CARNE;173.0;15.0;10.8;3.0;0.0
168;ESTROGONOFE DE FRANGO;157.0;17.6;8.0;2.6;0.0
169;FEIJAO TROPEIRO MINEIRO;152.0;10.2;6.8;19.6;3.6
170;FEIJOADA;117.0;8.7;6.5;11.6;5.1
171;SALADA DE LEGUMES COM MAIONESE;96.0;1.1;7.0;8.9;2.2
172;SALADA DE LEGUMES COZIDA NO VAPOR;35.0;2.0;0.3;7.1;2.5
173;SALPICAO DE FRANGO;148.0;13.9;7.8;4.6;0.4
174;SARAPATEL;123.0;18.5;4.4;1.1;0.0
175;TAPIOCA COM MANTEIGA;348.0;0.1;10.9;63.6;0.0
176;VATAPA;255.0;6.0;23.2;9.7;1.7
177;YAKISOBA;113.0;7.5;2.6;18.3;1.1
178;AMENDOIM GRAO CRU;544.0;27.2;43.9;20.3;8.0
179;AMENDOIM TORRADO SALGADO;606.0;22.5;54.0;18.7;7.8
180;ERVILHA EM VAGEM;88.0;7.5;0.5;14.2;9.7
181;ERVILHA ENLATADA DRENADA;74.0;4.6;0.4;13.4;5.1
182;FEIJAO CARIOCA COZIDO;76.0;4.8;0.5;13.6;8.5
183;FEIJAO CARIOCA CRU;329.0;20.0;1.3;61.2;18.4
184;FEIJAO FRADINHO COZIDO;78.0;5.1;0.6;13.5;7.5
185;FEIJAO FRADINHO CRU;339.0;20.2;2.4;61.2;23.6
186;FEIJAO PRETO COZIDO;77.0;4.5;0.5;14.0;8.4
187;FEIJAO PRETO CRU;324.0;21.3;1.2;58.8;21.8
188;GRAO-DE-BICO CRU;355.0;21.2;5.4;57.9;12.4
189;LENTILHA COZIDA;93.0;6.3;0.5;16.3;7.9
190;LENTILHA CRUA;339.0;23.2;0.8;62.0;16.9
191;PACOCA AMENDOIM;487.0;16.0;26.1;52.4;7.3
192;TESTE1;40.0;10.0;5.0;0.0;0.0
193;TESTE2;160.0;0.0;0.0;40.0;5.0
