N;Descricao dos alimentos;Energia (kcal);Proteina (g);Lipideos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Sodio (mg);Categoria
170;Feijao tropeiro mineiro;152.00;10.20;6.80;68.00;19.60;3.60;365.00;Alimentos preparados
171;Feijoada;117.00;8.70;6.50;22.00;11.60;5.10;278.00;Alimentos preparados
172;Salada de legumes com maionese;96.00;1.10;7.00;7.00;8.90;2.20;228.00;Alimentos preparados
173;Salada de legumes cozida no vapor;35.00;2.00;0.30;0.0;7.10;2.50;3.00;Alimentos preparados
174;Salpicao de frango;148.00;13.90;7.80;53.00;4.60;0.40;248.00;Alimentos preparados
175;Sarapatel;123.00;18.50;4.40;315.00;1.10;0.0;216.00;Alimentos preparados
176;Tapioca com manteiga;348.00;0.10;10.90;31.00;63.60;0.0;158.00;Alimentos preparados
177;Vatapa;255.00;6.00;23.20;44.00;9.70;1.70;880.00;Alimentos preparados
178;Yakisoba;113.00;7.50;2.60;0.0;18.30;1.10;794.00;Alimentos preparados
179;Amendoim grao cru;544.00;27.20;43.90;0.0;20.30;8.00;0.0;Leguminosas e derivados
180;Amendoim torrado salgado;606.00;22.50;54.00;0.0;18.70;7.80;376.00;Leguminosas e derivados
181;Ervilha em vagem;88.00;7.50;0.50;0.0;14.20;9.70;0.0;Leguminosas e derivados
182;Ervilha enlatada drenada;74.00;4.60;0.40;0.0;13.40;5.10;372.00;Leguminosas e derivados
183;Feijao carioca cozido;76.00;4.80;0.50;0.0;13.60;8.50;2.00;Leguminosas e derivados
184;Feijao carioca cru;329.00;20.00;1.30;0.0;61.20;18.40;0.0;Leguminosas e derivados
185;Feijao fradinho cozido;78.00;5.10;0.60;0.0;13.50;7.50;1.00;Leguminosas e derivados
186;Feijao fradinho cru;339.00;20.20;2.40;0.0;61.20;23.60;10.00;Leguminosas e derivados
187;Feijao preto cozido;77.00;4.50;0.50;0.0;14.00;8.40;2.00;Leguminosas e derivados
188;Feijao preto cru;324.00;21.30;1.20;0.0;58.80;21.80;0.0;Leguminosas e derivados
189;Grao-de-bico cru;355.00;21.20;5.40;0.0;57.90;12.40;5.00;Leguminosas e derivados
190;Lentilha cozida;93.00;6.30;0.50;0.0;16.30;7.90;1.00;Leguminosas e derivados
191;Lentilha crua;339.00;23.20;0.80;0.0;62.00;16.90;0.0;Leguminosas e derivados
192;Pacoca amendoim;487.00;16.00;26.10;0.0;52.40;7.30;167.00;Leguminosas e derivados
